intkod,korhaz,korhaz2,lat,lon
H695,H695 - ,"Református Dunamenti Kistérségi Diakónia, Majosháza",47.264763,18.9987317
S655,S655 - ,Hospice-Segítő Kéz Alapítvány,47.867156,17.25787
S827,S827 - ,"Országos Mentális, Ideggyógyászati és Idegsebészeti Intézet ",47.518479,19.09909
S908,S908 - ,Szent Damján Görögkatolikus Kórház,48.207827,22.090259
S913,S913 - ,Kazincbarcikai Kórház ,48.25475,20.619219
M753,M753 - Albert Schweitzer Kórház-Rendelőintézet,Albert Schweitzer Kórház-Rendelőintézet,47.671268,19.683757
N581,N581 - Albert Schweitzer Kórház-Rendelőintézet,Albert Schweitzer Kórház-Rendelőintézet,47.671268,19.683757
M132,M132 - Almási Balogh Pál Kft.,Almási Balogh Pál Kft.,48.209288,20.291166
N684,"N684 - Almási Balogh Pál Kórház, Ózd","Almási Balogh Pál Kórház, Ózd",48.209288,20.291166
1894,1894 - Árpád-házi Szt. Erzsébet SzKh. Ri,Árpád-házi Szt. Erzsébet SzKh. Ri,47.6463,18.316183
1122,1122 - Bács-Kiskun Megyei Kórház,Bács-Kiskun Megyei Kórház,46.910476,19.674522
1084,1084 - Bajai Szent Rókus Kh.,Bajai Szent Rókus Kh.,46.174612,18.959485
2873,2873 - Bajcsy-Zsilinszky Kórház és Ri,Bajcsy-Zsilinszky Kórház és Ri,47.478062,19.161342
2425,2425 - Balassa J. Kh. ,Balassa J. Kh. ,46.345691,18.701106
1869,1869 - Batthyány Kázmér SZKH,Batthyány Kázmér SZKH,47.499704,18.024034
1349,1349 - BAZ M-i Kh. és Egyetemi Okt. Kh,BAZ M-i Kh. és Egyetemi Okt. Kh,48.115837,20.790196
R464,R464 - Békés Megyei Központi Kórház,Békés Megyei Központi Kórház,46.663035,20.671487
1248,1248 - Békés Megyei Pándy Kálmán Kórház,Békés Megyei Pándy Kálmán Kórház,46.642251,21.276132
M915,M915 - Betegápoló Irgalmas Rend,Betegápoló Irgalmas Rend,47.515931,19.037167
K718,K718 - Betegápoló Irgalmasrend Pécsi Háza,Betegápoló Irgalmasrend Pécsi Háza,46.075049,18.22869
2392,"2392 - Bonyhád, Kh. Ri. ","Bonyhád, Kh. Ri. ",46.298664,18.526205
R730,R730 - Borsod-Abaúj-Zemplén Megyei Központi Kórház és Egyetemi Oktatókórház,Borsod-Abaúj-Zemplén Megyei Központi Kórház és Egyetemi Oktatókórház,48.115837,20.790196
5092,5092 - Bp-i Módszertani Szoc. Kp. és I. ,Bp-i Módszertani Szoc. Kp. és I. ,47.524953,19.064424
K558,K558 - Bp. XIII.ker.Eü.Szolg.Kh.Np.Kft.,Bp. XIII.ker.Eü.Szolg.Kh.Np.Kft.,47.529429,19.080977
C069,C069 - Budai Irgalmasrendi Kórház,Budai Irgalmasrendi Kórház,47.515931,19.037167
6072,6072 - Budapesti Szent Ferenc Kórház,Budapesti Szent Ferenc Kórház,47.526519,18.976166
M244,M244 - Bugát Pál Kórház Nonp. Kft.,Bugát Pál Kórház Nonp. Kft.,47.788002,19.929846
N682,"N682 - Bugát Pál Kórház, Gyöngyös","Bugát Pál Kórház, Gyöngyös",47.788002,19.929846
2524,"2524 - Celldömölk, Kemenesaljai Kh.","Celldömölk, Kemenesaljai Kh.",47.257706,17.158593
1454,1454 - CSMEK Hódmezővásárhely - Makó,CSMEK Hódmezővásárhely - Makó,46.21641,20.462192
K676,K676 - Csolnoky F.Kh.Np.Zrt,Csolnoky F.Kh.Np.Zrt,47.091299,17.90848
N594,N594 - Csolnoky Ferenc Kórház,Csolnoky Ferenc Kórház,47.091299,17.90848
1601,1601 - Csornai Margit Kórház,Csornai Margit Kórház,47.611042,17.246955
N592,N592 - Deák Jenő Kórház,Deák Jenő Kórház,46.884922,17.441472
R787,R787 - Debreceni Egyetem Kenézy Gyula Egyetemi Kórház,Debreceni Egyetem Kenézy Gyula Egyetemi Kórház,47.53417,21.611974
2894,2894 - Debreceni Egyetem Klinikai Központ,Debreceni Egyetem Klinikai Központ,47.555894,21.626426
N582,N582 - Dombóvári Szent Lukács Kórház,Dombóvári Szent Lukács Kórház,46.383922,18.145093
4712,4712 - Dombóvári Szent Lukács Nonprofit Kft.,Dombóvári Szent Lukács Nonprofit Kft.,46.383922,18.145093
1487,1487 - Dr. Bugyi István Kórház,Dr. Bugyi István Kórház,46.661651,20.255472
1460,1460 - Dr. Diósszilágyi S.Kh.-RI,Dr. Diósszilágyi S.Kh.-RI,46.21641,20.462192
1903,1903 - Dr. Kenessey Albert Kh-Ri,Dr. Kenessey Albert Kh-Ri,48.079691,19.309609
